gbif_name,bioclip_name
Alaudala rufescens,Calandrella rufescens
Anas americana,Mareca americana
Aratinga nenday,Nandayus nenday
Ardea ibis,Bubulcus ibis
Ardenna gravis,Puffinus gravis
Ardenna grisea,Puffinus griseus
Astur gentilis,Accipiter gentilis
Botaurus minutus,Ixobrychus minutus
Botaurus sturmii,Ixobrychus sturmii
Calonectris borealis,Calonectris diomedea
Cecropis rufula,Cecropis daurica
Circus hudsonius,Circus cyaneus
Clanga clanga,Aquila clanga
Clanga pomarina,Aquila pomarina
Curruca communis,Sylvia communis
Curruca conspicillata,Sylvia conspicillata
Curruca curruca,Sylvia curruca
Curruca hortensis,Sylvia hortensis
Curruca undata,Sylvia undata
Grus virgo,Anthropoides virgo
Gulosus aristotelis,Phalacrocorax aristotelis
Gyps rueppelli,Gyps rueppellii
Hydrobates castro,Oceanodroma castro
Hydrobates leucorhous,Oceanodroma leucorhoa
Nannopterum auritum,Phalacrocorax auritus
Psittacara erythrogenys,Aratinga erythrogenys
Psittacara mitratus,Aratinga mitrata
Strix mauritanica,Strix aluco
Thectocercus acuticaudatus,Aratinga acuticaudata
Zapornia parva,Porzana parva
Zapornia pusilla,Porzana pusilla
